RegionName,mean_zhi
01001,344522.92271918216
01002,548593.6050482077
01005,390171.6227872487
01007,448668.7540747474
01008,354838.77320026065
01010,401233.9731354271
01011,276890.54134738585
01012,388281.34294965334
01013,297947.48527913756
01020,309343.15141704987
01026,370277.4125019483
01027,412217.8095238646
01028,391174.8073095472
01030,370982.77598563046
01031,381202.6101364398
01032,391855.2458500993
01033,397293.2667065617
01034,396124.1588430167
01035,493118.5474604033
01036,412530.423451405
01037,418594.493303916
01038,466303.98820166365
01039,450116.4557140477
01040,307936.88195515645
01050,342158.29293310246
01053,493353.927516792
01054,492263.5552290093
01056,351220.6687512638
01057,376113.3229059838
01060,570326.0465516099
01062,458386.2950807472
01068,450712.7925704937
01069,317298.35084270564
01070,316767.4035490512
01071,328894.92727454583
01072,415047.31713449
01073,468736.3677928951
01075,378881.1126017298
01077,392436.3795670632
01080,288238.6336531483
01081,319777.63974994334
01082,328699.2726233306
01083,343204.64960666146
01085,366202.75777161616
01089,343041.517198628
01093,506459.2253247401
01095,442040.6794855275
01096,411826.03160339984
01098,384739.0735840072
01104,266981.0143713004
01105,258311.41780382927
01106,500285.0277202865
01107,284624.0860996408
01108,286010.0823537391
01109,253686.124841291
01118,299094.6393855138
01119,288484.7355967377
01128,314427.7801547765
01129,309219.2086111304
01151,268732.73471407546
01201,292344.05970371916
01220,243323.0783068589
01222,402693.5176006771
01223,385459.0717543506
01224,291357.52532872633
01225,332728.852428677
01226,321081.25679974764
01230,603382.8603706834
01235,345376.17926556425
01236,589843.1833232498
01237,375688.6244948487
01238,396617.8113838021
01240,596716.2191414804
01243,318085.40579862724
01245,702873.5186764812
01247,236503.9005233209
01253,488318.34527847194
01254,620567.753127994
01255,439905.6841423744
01256,306878.64237093687
01257,505827.1848685459
01258,650748.9997666698
01259,541323.2509219539
01262,714814.9976772886
01264,650086.020003185
01266,669290.6525832763
01267,478935.8192227104
01270,345402.00913793343
01301,322911.535219492
01330,417273.786065233
01331,329710.2970854567
01337,367755.0920188727
01338,364046.8791144852
01339,327837.60581340175
01340,299431.055761826
01341,432741.349047683
01342,440516.594881678
01344,315613.9081788073
01346,286483.5000472513
01349,305957.51699780644
01351,371879.49897880416
01354,348079.47968080716
01355,386650.0810920281
01360,357160.5842452099
01364,299821.52201878495
01366,455035.5784419263
01367,333764.96371528745
01368,378898.54624236
01370,390840.21272481536
01373,441637.3018028747
01375,473815.913393578
01376,309119.5919613515
01378,325721.35988643713
01379,307206.42041082
01420,392320.50596806384
01430,438755.9236731104
01431,455934.27526009065
01432,582299.9418363045
01434,687003.8352252416
01436,371712.7816179456
01440,367145.5139749498
01450,777721.6483163825
01451,935705.4675485988
01452,460046.9400944362
01453,472096.3243042315
01460,766291.9577395235
01462,532744.4898179141
01463,579560.2125253569
01464,553232.5392007217
01468,403006.0571125496
01469,487149.6204260006
01473,521796.50705154735
01474,494212.0272508161
01475,375165.213181312
01501,455828.3801154561
01503,690129.413570538
01504,485186.2681974497
01505,637474.8809733371
01506,395233.3672643502
01507,506004.1242959364
01510,456032.5864285503
01515,411772.377999225
01516,537405.3399305131
01518,516723.26243415737
01519,698445.4976124355
01520,548566.7408831258
01521,359601.5806981313
01522,545580.0242898174
01523,565386.0892684264
01524,440007.66381985735
01527,487039.5804446079
01529,503572.7203027222
01531,459346.0274969315
01532,693906.5071767931
01534,523057.49560889025
01535,374379.0642763528
01536,573867.2781463176
01540,418604.2707767995
01541,608249.0936385314
01542,512813.70065866224
01543,530040.8305342117
01545,711301.7334341943
01550,366032.1199536238
01560,680031.0897713174
01562,420704.55876539665
01564,583366.8504229386
01566,489528.6527967273
01568,708882.0060966996
01569,539643.8773478476
01570,424383.1780908375
01571,448337.95652225846
01581,799573.0964395944
01583,502159.90613427106
01585,408223.9031271213
01588,476070.800555007
01590,618359.34516747
01602,441325.2100604652
01603,388082.2626995084
01604,424224.07078029
01605,434007.70541896834
01606,428485.32549931714
01607,402263.0535121572
01609,582622.0442538036
